isbn,title,authors,publisher,year
9781847159175,Amazing Women - 101 Lives to Inspire You,"Lucy Beevor, Sarah Green",Little Tiger Press Group,2018
9780851121925,Guinness World Records 2005,,W2004 Guinness World Records,2004
9781408855676,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,Bloomsbury,2014
9780241515037,All Boys Aren't Blue,"George M. Johnson, George M. Johnson",Penguin Books,2021
9781444003475,Horrid Henrys Annual 2013,Francesca Simon,Orion Publishing Co,2012
9780563486466,Doctor Who - Aliens And Enemies,Justin Richards,BBC Books,2006
9780575056282,Seize the Moment,"Helen Sharman, Christopher Priest",Gollancz,1993
9780142000670,Of Mice and Men,"John Steinbeck, J. Steinbeck, John Steinbeck, john steinbek, John Steinback",Penguin Books,2002
9780747591665,Small Steps,Louis Sachar,Bloomsbury Publishing PLC,2007
9780099523994,Persepolis,Marjane Satrapi,Vitage Books,2006
9780099573463,Frankenstein,Mary Shelley,Penguin Random House,2013
9780241372777,Extraordinary Life of Mary Seacole,"Naida Redgrave, Alleanna Harris, Megan Rix","Penguin Books, Limited",2019
9780375850868,When You Reach Me,Rebecca Stead,Yearling,2010
9780006754169,Cirque du freak,Darren Shan,Collins,2000
9781853260612,Dr. Jekyll & Mr. Hyde,Robert Louis Stevenson,Wordsworth Editions,1997
9781407129853,Scorpio Races,Maggie Stiefvater,Scholastic,2011
9781853260278,Gulliver's travels,Jonathan Swift,Wordsworth Classics,1993
9780007114405,Trials of Death (The Saga of Darren Shan #5),Darren Shan,HARPER COLL CHILDREN,2001
9780007137817,Killers of the Dawn - Saga of Darren Shan,Darren Shan,Collins Crime,2003
9780340999141,The Vampire Diaries - The Awakening & The Struggle,Lisa Jane Smith,Hodder Children's Books,2009
9781509845385,Radical Candor - How to get what you want by saying what you mean,Kim Malone Scott,PAN MACMILLAN U.K,2017
9780141188416,The lonely Londoners,Samuel Selvon,Penguin,2006
9780007968152,Geek Girl,,,2006
9780007489480,Picture Perfect,Holly Smale,imusti,2012
9780007968169,Model Misfit,,,
9780007968190,Head Over Heels Not Known,,,
9780007968176,Picture Perfect,,,
9780007968206,Forever Geek,,,
9780007115167,Vampire Prince,Darren Shan,HARPER COLL CHILDREN,2002
9780007137800,Allies of the Night (Saga of Darren Shan),Darren Shan,Collins,2002
9781904233657,Twilight,Stephenie Meyer,ATOM,2007
9781529118520,Rise Up - The #Merky Story So Far,Stormzy,Penguin Random House,2019
9781471136085,Savage Magic,Lloyd Shepherd,Simon & Schuster Ltd,2015
9780340999158,The Vampire Diaries - The Fury & The Reunion,Lisa Jane Smith,Hodder Children's Books,2009
9780141028590,The Boy With The Topknot - A Memoir Of Love Secrets And Lies In Wolverhampton,Sathnam Sanghera,Penguin Books,2009
9780141997445,Why Are All the Black Kids Sitting Together in the Cafeteria?,Beverly Daniel Tatum,"Penguin Books, Limited",2021
9780141186993,A grain of wheat,Ngũgĩ wa Thiongʼo,Penguin in association with Heinemann African Writers Series,2002
9780460874663,Around the World in Eighty Days,Jules Verne,Tuttle Publishing,1994
9780261102378,The Return of the King - Being the third part of The Lord of the Rings,J.R.R. Tolkien,Grafton,1991
9780261102361,The Two Towers - Being the second part of The Lord of the Rings,J.R.R. Tolkien,Grafton,1991
9780261102354,The Fellowship of the Ring - Being the first part of The Lord of the Rings,J.R.R. Tolkien,HarperCollins Publishers,1999
9780006514855,Girls' night in,"Chris Manby, Fiona Walker, Jessica Adams",HarperCollins,2000
9780751584202,Ink Black Heart,J. K. Rowling,"Little, Brown Book Group Limited",2022
9781444779578,Twin ambitions - my autobiography,Mo Farah,Hodder,2014
9781529068177,You Are a Champion - How to Be the Best You Can Be,Marcus Rashford,Macmillan Children's Books,2021
9781406309355,Snakehead (Alex Rider),"Anthony Horowitz, Antony Johnston, Amrit Birdi",Walker Books (UK),2007
9781406310481,Crocodile Tears,Anthony Horowitz,"Walker Books, Limited",2009
9781444768633,Jessica Ennis,Jessica Ennis,Hodder & Stoughton General Division,2013
9781471123443,The prey,Andrew Xia Fukuda,Simon & Schuster Children's,2013
9781471123436,The hunt,Andrew Fukuda,Simon & Schuster,2013
9781471123450,The trap,Andrew Xia Fukuda,"Simon & Schuster, Limited",2013
9781529112535,Wonder,Diana Evans,Penguin Random House,2019
9781904442837,Inkspell (Inkheart Trilogy),Cornelia Funke,Chicken House Ltd,2006
9781407109084,The Hunger Games,Suzanne Collins,Scholastic,2010
9780440869849,Emperor of Nihon-Ja,John Flanagan,Yearling Books,2011
9781405229302,Fifteen Minute Bob,Catherine Forde,Egmont Books (UK),2011
9780753553732,Naturally Tan - A Memoir,"Tan France, Caroline Donofrio",Ebury Publishing,2020
9780330367356,Bridget Jones - The Edge of Reason,Helen Fielding,Picador,2000
9780099584438,Mad about the Boy,Helen Fielding,Penguin Random House,2014
9780340911631,Stone Heart,Charlie Fletcher,Hodder Children's Books,2007
9781529112481,Lover's Discourse,"Xiaolu Guo, Cindy Kay",Penguin Random House,2021
9781853261220,The Wind in the Willows,Kenneth Grahame,NTC/Contemporary Publishing,1998
9781405277037,Coram Boy,Jamila Gavin,Egmont Books Ltd,2015
9780007127894,The Owl Service,Alan Garner,CollinsVoyager,2002
9780007127887,The Weirdstone of Brisingamen (Collins Voyager),Alan Garner,CollinsVoyager,2002
9780241367162,Off the Record,Camryn Garrett,"Penguin Books, Limited",2021
9781848531376,TALL STORY,Candy Gourlay,Tamarind Books,2016
9780060887414,Unbelievable,Sara Shepard,Harper Teen,2009
9780099516750,Our Lady of Alice Bhatti,Mohammed Hanif,Penguin Random House,2012
9781405257602,Light,Michael Grant,Electric Monkey,2014
9781784709136,Homecoming - Voices of the Windrush Generation,Colin Grant,Penguin Random House,2020
9780330490689,Hornet flight,Ken Follett,Pan,2003
9780099406136,The Summons,John Grisham,Arrow Books Ltd,2007
9780553817072,The Apprentice,,,
9780006482024,Gold,Isaac Asimov,HarperCollins Publishers,1996
9780141312125,Artemis Fowl,Eoin Colfer,Puffin Books,2002
9781907410369,The Short Second Life Of Bree Tanner - An Eclipse Novella,Stephenie Meyer,Brand: ATOM,2010
9780224092128,My Time,Bradley Wiggins,Vintage,2012
9781910561010,Guinness World Records 2016,Guinness World Records,9781910561034,2015
9781529097054,You Can Do It - How to Find Your Team and Make a Difference,"Marcus Rashford, Carl Anka",Pan Macmillan,2022
9781423139461,The Art of Pirates of the Caribbean - On Stranger Tides,Michael Singer,Disney Editions,2011
